track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,is_hit,track_name_length,artist_count,duration_min,lyrics
1yZWmKmLfTrFCxHvhFsdoN,The Killers;Phoebe Bridgers,The Greatest Rock Tunes 2022,Runaway Horses - Abridged,1,204466,False,0.499,0.223,9,-15.253,1,0.0338,0.912,0.0,0.0962,0.304,129.291,5,rock,0,25,2,3.407766666666667,"Lizzo - Rumors (feat. Cardi B)
PinkPantheress - Just for me
Machine Gun Kelly - papercuts
blackbear - alone in a room full of people
WizKid - Essence (feat. Justin Bieber & Tems)
Dan + Shay - Steal My Love
Tiësto - Don't Be Shy
J Balvin - Que Locura
Sub Urban & Bella Poarch - INFERNO
Still Woozy - Woof
Jungle - All Of The Time
Elton John - Cold Heart - PNAU Remix
Kygo - Love Me Now (feat. Zoe Wees)
Kodak Black - Before I Go (feat. Rod Wave)
Swae Lee - Ball Is Life (feat. Jack Harlow)
Jay Wheeler - Take My Life
Chelsea Cutler - You Can Have It
Joel Corry - OUT OUT (feat. Charli XCX & Saweetie)
YNW Melly - Mind of Melvin (feat. Lil Uzi Vert)
NLE Choppa - Mmm Hmm
Deb Never - Sweet & Spice
binki - Invisible Fence 🕒
ericdoa - back n forth
RÜFÜS DU SOL - Next to Me
VanJess - Slow Down (feat. Lucky Daye)
The Killers - Runaway Horses (feat. Phoebe Bridgers) - Abridged
Sueco - Paralyzed
Junior Varsity - Limousine
Ben Platt - I wanna love you but I don’t
KIRBY - Break Her Heart For Me
$uicideboy$ - Life Is but a Stream~
DJ Snake - Run It (feat. Rick Ross & Rich Brian)
Coi Leray - Okay Yeah!
Prince Royce - Lao' a Lao'
Masked Wolf - Bop
James Arthur - Avalanche
Alessia Cara - The Use In Trying
Luke Hemmings - Baby Blue
Big Thief - Little Things
Sam Austins - JOY FOR YOUTH (with Sir Chloe)
spill tab - Indecisive (feat. Tommy Genesis)
Wale - Down South (feat. Yella Beezy & Maxo Kream)
Iggy Azalea - Is That Right
Reik - Loquita
Love Regenerator - We Can Come Together
Oscar Lang - Yeah!
Jade Bird - Candidate
Amos Lee - Worry No More
Trey Lewis - Shut the Door 🕒
Maude Latour - Clean
Louis The Child - hate u cuz i don't (feat. Bea Miller)
Cheat Codes - All Things $ Can Do (with Travis Barker & Tove Styrke)
21 Savage - Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei)
Denzel Curry - The Game
POORSTACY - Party At The Cemetery
Aries - KIDS ON MOLLY
BabyJake - Watching
chloe moriondo - not okay (feat. mazie)
Sean Paul - Only Fanz (feat. Ty Dolla $ign)
Sebastian Yatra - Delincuente
Nao - Wait
Lecrae - Everyday
K CAMP - Rain On Your Skin (feat. Mooski)
Lonr. - Read My Mind (feat. Yung Bleu)
midwxst - Tic Tac Toe
Magdalena Bay - Secrets (Your Fire)
Day Wave - Before We Knew
THE BLOSSOM - SPORTS CAR
Weston Estate - Outside
jamesjamesjames - My Purple iPod Nano
Loud Luxury - Holiday Hills
EBEN - I Miss You
Maisie Peters - You Signed Up For This
GAYLE - abcdefu
Avery Lynch - Shit People
gabriel black - molotov
Flipp Dinero - Play My Part
D Smoke - Shame On You 🕒
Isaia Huron - Fallen / DGYLA
Mia Rodriguez - Billion Dollar Bitch
Rence - AWOOO!
Mallory Merk - Devil Laugh
Tenille Arts - Over You is You (feat. Matt Stell)
Jelly Roll - Sober
BIG30 - Backseat Of The Rolls Truck 🕒
Monaleo - Suck It Up
Deijuvhs - Flower Ghoul
Balu Brigada - Favourite Clothes
Madeline The Person - August (feat. Adam Melchor)
Keni - Big Enough
Johnny Orlando - Daydream
morgxn - DON'T THINK ABOUT IT
Dead Sara - Heroes
Bendigo Fletcher - Retail Lord
DJ Seinfeld - She Loves Me 🐚
Icewear Vezzo - Chamber Brothers 🕒
Wande - Don’t Worry Bout It
BAYLI - 16
COLETON RUBIN - Dad
Augustine - Summer Wine"
3OPefQtYkLSsrsjfcHbl7C,Los Fredy´s,Nuestros Primeros 20 Éxitos,Mis Noches Sin Ti,31,127266,False,0.658,0.686,11,-1.038,0,0.034,0.697,0.0,0.13,0.607,116.169,4,rock-n-roll,0,17,1,2.1211,"Mis Noches Sin Ti
Sufro al pensar que el destino logró separarnos
Guardo tan bellos recuerdos que no olvidaré
Sueños que jamás forjaron tu alma y la mía
Y en las de dicha infinita te añoro en mi canto
Y no has de volver
Mi corazón en tinieblas te busca con ansias
Rezo tu nombre pidiendo que vuelvas a mí
Porque sin ti ya ni el sol ilumina mis días
Y al llegar la aurora me encuentra llorando
Mis noches sin ti
Hoy que en mi vida tan sólo quedó tu recuerdo
Siento en mis labios tus besos que saben a miel
Tu cabellera sedosa acaricio en mis sueños
Y me estrechan tus brazos amantes
Al arrullo suave de este amor de ayer
Mi corazón en tinieblas te busca con ansias
Rezo tu nombre pidiendo que vuelvas a mí
Porque sin ti ya ni el sol ilumina mis días
Y al llegar la aurora me encuentra llorando
Mis noches sin ti
Mis noches sin ti"
4UDmDIqJIbrW0hMBQMFOsM,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),Stayin' Alive,77,92866,False,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644,4,rock,1,13,1,1.5477666666666667,"[Verse 1]
Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
The music loud and the women warm
I've been kicked around since I was born

[Pre-Chorus]
And now it's alright, it's okay
And you may look the other way
But we can try to understand
The New York Times' effect on man

[Chorus]
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive
Oh, when you walk

[Verse 2]
Well now, I get low and I get high
And if I can't get either, I really try
Got the wings of Heaven on my shoes
I'm a dancin' man and I just can't lose

[Pre-Chorus]
You know it's alright, it's okay
I'll live to see another day
But we can try to understand
The New York Times' effect on man

[Chorus]
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive
(Hey, yeah)

[Bridge]
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive

[Verse 3]
Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
The music loud and the women warm
I've been kicked around since I was born

[Pre-Chorus]
And now it's alright, it's okay
And you may look the other way
But we can try to understand
The New York Times' effect on man

[Chorus]
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive, stayin' alive
Ah, ah, ah, ah
Stayin' alive
(Hey, yeah)

[Outro]
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive
Life goin' nowhere
Somebody help me
Somebody help me, yeah
Life goin' nowhere
Somebody help me, yeah
I'm stayin' alive"
70dBmROatI6VWV7HoWayte,Los Teen Tops,La Gran Coleccion Del 60 Aniversario CBS - Los Teen Tops,Popotitos (Bonie Moroni),36,171733,False,0.533,0.624,4,-10.47,1,0.0297,0.71,2.96e-06,0.146,0.888,140.626,4,rockabilly,0,24,1,2.862216666666667,"Mi amor entero es de mi novia popotitos
Sus piernas son como un par de carricitos
Y cuando a la fiestas la llevo a bailar
Sus piernas flacas se parecen quebrar
Popotitos no es un primor
Pero baila que da pavor
A mi popotitos yo le di mi amor
Popotitos baila rock and roll
Y no la ves ni con la luz del sol
Es tan delgada que me hace pensar
Que en plena lluvia no se va a mojar
Cuando hay aire fuerte la parece volar
A Miss Universo nunca va a llegar
Con Popotitos me voy a casar
Y alli en adelante la voy a alimentar"
4Mx9vt5K7qVKhiaMoxK8Fz,The Moonglows,Their Greatest Hits: The Chess 50th Anniversary Collection,Ten Commandments Of Love,29,244533,False,0.407,0.0642,3,-17.702,1,0.0367,0.842,0.0,0.12,0.232,84.8,3,rock-n-roll,0,24,1,4.07555,"[Verse 1]
(One)
Thou shalt never love another
(Two)
But stand by me in all the while
(Three) Take happiness with the heartaches
(Four) Go through life wearing a smile

[Chorus]
And how happy we will be
With the ten commandments of love, oh, love, of love

[Verse 2]
(Five)
Thou shalt always have faith in me and in everything I say and do
(Six)
Love me with all your heart and soul, until our life, our precious life on earth is through

[Chorus]
And how happy we will be
With the ten commandments of love, oh, love, of love

[Bridge]
Love, oh, love, oh, sweet love
I said it's oh, oh, so grand
But, yes it is
Such as you could find, since the beginning of time
It has proved in all the land

[Verse 3]
(Seven)
Come to me when I am lonely
(Eight)
Kiss me when you hold me tight
(Nine)
Keep me, all you gotta do is treat me warm and tender
(Ten)
Gentle caresses and always do right
You got to do right

[Chorus]
And how happy we will be
With the ten commandments of love, of love

[Outro]
And how happy we will be
With the ten commandments of love"
2RXv7fZNLSP3X7xWiJ8e5n,Matanza,Música para Beber e Brigar,O Último Bar,42,187333,False,0.455,0.974,9,-2.6,1,0.0486,0.00341,0.0,0.157,0.817,167.934,4,punk-rock,0,12,1,3.122216666666666,"O último bar quando fecha de manhã
Só me lembra que eu não tenho aonde ir
Bourbon tenho demais, mas que diferença faz
Se você não está aqui pra dividir

Nada hoje em dia é como costumava ser
Do jeito que era divertido há um tempo atrás
Varava noite adentro pelos bares por aí
Enchendo a cara e perturbando a paz

Não é nenhuma novidade
Ficar uma semana sem dormir
Em cada esquina tem um bar
Em cada copo uma vontade de sumir de vez daqui

Mas se eu voltei pra essa cidade
Foi atrás de muito tempo que eu perdi
E cada vez que passa um Cadillac
Eu fico procurando se é você a dirigir

Toda noite tem sempre alguém pra me dizer
Que mulher que vai querer te ver assim
Pleno festival, mulherada, carnaval
E eu aqui com uma garrafa já no fim"
3PbWdhzRwiqdE69Gu1wHd0,Creep Hyp,泣きたくなるほど嬉しい日々に,今今ここに君とあたし,40,181440,False,0.397,0.903,9,-3.038,1,0.108,0.00947,0.0,0.842,0.592,116.276,4,j-rock,0,10,1,3.024,"「昔昔あるところに」って曖昧過ぎてわからなくて
おじいさんとおばあさんじゃ何だか物足りなくなって
流れてきた桃を無視してそのまま見送った

君がじじいになる前にやり残した事があるんだ
後悔あとで立たなくなる前にあんな事やこんな事も
したいしたいしたいしたいしたいしたいしたいしたいしたいしたいしたい

今今ここに君とあたし　どうでもいい2人だけの話
いつもニコニコ君とあたし　何の確信も無いけどね
いつだって今が面白い

あたし騙し騙しなんとかやってるこの暮らし
お互いいくつかの玉手箱を隠し持って
開けないように　飽きないように　両腕で抱きしめた
時々出来る変な間も　ドキドキに変えていけたら　良いのにな
とか言ってるだけだから

今今ここに君とあたし　どうでもいい2人だけの話
いつもニコニコ君とあたし　何の確信も無いけどね
いつだって今が新しい

昔々あるところに独特の世界観を持ったバンドがおったそうな
変な声だと村人から石を投げられて泣いていたバンドを救ったのは
変な感性を持った変な村人だった
そうやってどうにかこうにか変な時代を変な村人に支えられながら
変なバンドは生き延びていった
そしてバンドはロックフェスに芝刈りへ！運命の選択へ！
だから今日も「決して覗いてはいけません」と言われた扉を開け続けるのです

「昔昔あるところに」って曖昧過ぎてわからなくて
おじいさんとおばあさんじゃ何だか物足りなくなって
流れてきた桃を無視してそのまま見送った

君がじじいになる前にやり残した事があるんだ
後悔あとで勃たなくなる前にあんな事やこんな事も
したいしたいしたいしたいしたいしたいしたいしたいしたいしたいしたい
したいしたいしたいしたいしたいしたいしたいしたいしたいしたいしたい"
70oCSjkWqBvGBql9gJz5dx,Patricio Rey y sus Redonditos de Ricota,La Mosca y la Sopa,Fusilados por la Cruz Roja,47,255000,False,0.557,0.873,9,-6.674,0,0.0449,0.00822,0.00453,0.0648,0.868,162.842,4,alt-rock,0,26,1,4.25,"[Letra de ""Fusilados por la Cruz Roja""]

[Intro]
Che-che-che
Che-che-che

[Verso 1]
Hay, hay mucho misterio en tus ojos, hoy hay
Y hay, hay mucha chispa aún en tu cerebro loco

[Puente]
Pero estás hundido en tu propia herida
Pero estás hundido en tu propia herida

[Verso 2]
Hay, hay muchas formas de pelar al gato, nene
Y (¡Ay, ay!) puede fusilarte hasta la Cruz Roja, nene

[Puente]
En esta vieja cultura frita
En esta vieja cultura frita

[Solo]

[Puente]
Che-che-che

[Verso 3]
Vas (¡Ay!) apartando a golpes tus dolores, nene
Así, vas a ser el más premiado de la morgue, nene

[Puente]
Porque estás hundido en tu propia herida
Porque estás hundido en tu propia herida

[Estribillo]
Te encanará un robocop sin ley, no, no
Un crono-rock japolicía hecho en Detroit
Yeah, yeah, yeah, yeah, yeah, yeah

[Puente]
Chegusán-che

[Verso 4]
(¡Ay, ay!) La gente decente es diferente, nene
Pero (¡Ay, ay!) tu belleza empieza a abrirse paso, nene

[Puente]
En esta vieja cultura frita
En esta vieja cultura frita

[Estribillo]
Te encanará un robocop sin ley, no, no
Un crono-rock hecho en Detroit
Yeah, yeah, yeah, yeah"
1ogRu1dOUgHvel8To8oQbe,Dorothy,ROCKISDEAD,Wicked Ones,60,172516,False,0.587,0.635,5,-5.47,1,0.0377,0.0353,0.0,0.331,0.591,96.519,4,hard-rock,1,11,1,2.875266666666666,"[Verse 1]
This night ain't for the faint of heart
For the faint of heart, for the faint of heart
This night ain't for the faint of heart
'Cause the faint of heart gon' fall apart

[Verse 2]
This night ain't for the holy man
With the holy plan, for the promised land
This night, we got the evil hand
And the evil hand gon' raise the damned

[Chorus]
Ain't no sleep when the wicked play
All we do is yodel-ay-ee-hoo
Ee-ooh
Ain't no love when the wicked run
All we do is yodel-ay-ah, ay-ah, ay-ah
We the wicked ones, wicked ones

[Verse 3]
This night ain't for the faint of heart
For the faint of heart, for the faint of heart
This night ain't for the faint of heart
'Cause when the trainwreck comes, gon' leave a mark

[Chorus]
Ain't no sleep when the wicked play
All we do is yodel-ay-ee-hoo
Ee-ooh
Ain't no love when the wicked run
All we do is yodel-ay-ah, ay-ah, ay-ah
We the wicked ones, wicked ones

[Guitar Solo]

[Chorus]
Ain't no sleep when the wicked play
All we do is yodel-ay-ee-hoo
Ee-ooh
Ain't no love when the wicked run
All we do is yodel-ay-ah, ay-ah, ay-ah
We the wicked ones, wicked ones"
2EIKAt7fp0Zog0nmfVWxNK,Tom Petty and the Heartbreakers,Feeling Good - Adult Pop Favorites,Echo,0,396773,False,0.547,0.56,0,-6.32,1,0.0241,0.0393,3.63e-06,0.0632,0.472,83.337,4,rock,0,4,1,6.612883333333333,"[Intro]
Damn, Callan
 (
Damn, Callan
)

[Chorus]
One bad bitch and she do what I say so (Yeah)
Two big 40's and a big-ass Draco (Boom, boom)
Three more millions when you ask how my day go (Yeah)
Poured up a four, now that's blueberry Faygo (Lean)
One false move and we straight to shootin' shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Yeah)
That's how it go, big bands, I'm thumbin' shit
Ayy, one bad bitch and she do what I say so (Yeah)
Two big 40's and a big-ass Draco (Boom, boom)
Three more millions when you ask how my day go (Yeah)
Poured up a four, now that's blueberry Faygo (Lean)
One false move and we straight to shootin' shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Yeah)
That's how it go, big bands, I'm thumbin' shit

[Verse 1]
I'm with my niggas, yeah, we some rockstars
And I'm with my nigga, yeah, KK Wokhardt (KK Wokhardt)
This not my dick, lil' bitch, my Glock hard (Lil' bitch)
Straight to the cash (Cash), I'm a trapstar
Straight to the bag (Bag), I'm that nigga, huh?
Got me some gas, rollin' up some
Pfft, pfft, cash, yeah, I got me some
I ain't fucked since yesterday, I'ma fuck somethin'

[Chorus]
One bad bitch and she do what I say so (Yeah)
Two big 40's and a big-ass Draco (Boom, boom)
Three more millions when you ask how my day go (Yeah)
Poured up a four, now that's blueberry Faygo (Lean)
One false move and we straight to shootin' shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Yeah)
That's how it go, big bands, I'm thumbin' shit

[Verse 2]
Three-oh clip in my nina (Boom, boom)
On my toes, Gucci, Valentino
She on go, your bitch for the team, uh (Lil' bitch)
'Cause you know your bitch want a winner (Winner)
I just went back to my city (To my city)
And you know they all fuckin' with me (Yeah, they is)
But it ain't safe, poles with me (Poles)
I'ma chase bands 'til they end me

[Chorus]
One bad bitch and she do what I say so (Yeah)
Two big 40's and a big-ass Draco (Boom, boom)
Three more millions when you ask how my day go (Yeah)
Poured up a four, now that's blueberry Faygo (Lean)
One false move and we straight to shootin' shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Yeah)
That's how it go, big bands, I'm thumbin' shit
Ayy, one bad bitch and she do what I say so (Yeah)
Two big 40's and a big-ass Draco (Boom, boom)
Three more millions when you ask how my day go (Yeah)
Poured up a four, now that's blueberry Faygo (Lean)
One false move and we straight to shootin' shit
Two small bands just to take you out real quick (Bands)
Three more hoes, pull up, I'm fucking shit (Yeah)
That's how it go, big bands, I'm thumbin' shit"
